微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IzWihiVxR,2704671975,Amelia1995_Pang,weibo.cn/2704671975/IzWihiVxR,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,转发微博  ,环球时报,无,2020-03-23 15:04,2020/03/23 15:05:27,地铁,iPhone客户端,0,0,0
IzWienruc,2108237403,西铁资讯,weibo.cn/2108237403/IzWienruc,True,#疫情防控交通动态#【黑龙江：铁路迎来复工复产客流高峰】随着全国各地企业陆续复工复产，黑龙江迎来了铁路出行客流高峰，中国铁路哈尔滨局集团有限公司加强站车消毒、测温等疫情防控工作，保障旅客健康出行。在哈尔滨火车站出站口，车站、铁路疾控、公安等工作人员组织旅客进行健康扫码、检测体温，有序出站。自疫情发生以来，中国铁路哈尔滨局集团有限公司已累计消毒列车4600列，5万余节车厢，消毒面积近500万平方米，为复工复产出行提供健康安全保障。#武汉地铁已做好恢复运营准备# http://t.cn/A6zeTL7G ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:27,地铁,微博 weibo.com,0,0,0
IzWic1jUB,5786962560,小小小小小小戚汣,weibo.cn/5786962560/IzWic1jUB,True,#杭州亚残运会会徽和口号# 亚运会之前杭州地铁应该都能开通了吧😂 😂 😂  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:27,地铁,华为手机 畅享玩不停,0,0,0
IzWi93vxh,1340724153,晒太阳的二师兄,weibo.cn/1340724153/IzWi93vxh,False,"带口罩的三名中国人被白人种族主义者轰出地铁的时候, 同一车厢的人做出了什么反应 ？ 默认&制止 ？ 我翻译了这个结果让人非常意外的社会调查 👇🏼  云登_十尼贝格的微博视频 比利时·布鲁塞尔  ",//@小V:看完了，其实挺感动的//@电影通缉令:挺好。  ,云登_十尼贝格,无,2020-03-23 15:04,2020/03/23 15:05:27,地铁,小米8 SE,0,0,0
IzWiB6kDd,5585912172,不要发现叮当,weibo.cn/5585912172/IzWiB6kDd,True,我好想去日本逛药妆店走楼梯坐地铁看樱花  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:59,地铁,无,0,0,0
IzWiAwzR6,3972973590,抹茶拿铁五分甜加珍珠,weibo.cn/3972973590/IzWiAwzR6,True,#姚琛[超话]#[爱你]#姚琛0323生日快乐# 杭州地铁大屏打卡完毕！一共去了四站，虽然现在的人流远远比不上正常情况下  [组图共6张] 原图 ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:59,地铁,姚琛超话,0,0,0
IzWiAcnan,6218009612,大兴安岭环保,weibo.cn/6218009612/IzWiAcnan,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,//@黑龙江省生态环境厅: 转发微博  ,人民日报,无,2020-03-23 15:04,2020/03/23 15:05:59,地铁,360安全浏览器,0,0,0
IzWiyaJMA,5317377135,纵锦浪里,weibo.cn/5317377135/IzWiyaJMA,False,过个安检非要让我把肛塞翻出来大庭广众的给你看看 丢死人了 上海·上海虹桥国际机场  ,笑晕了哈哈哈哈哈哈哈哈哈 我上次也是 坐地铁忘记摘哈哈哈哈哈  ,YourJinji-M,无,2020-03-23 15:04,2020/03/23 15:05:59,地铁,iPhone XS Max,0,0,0
IzWipibvw,1903123220,江苏城市频道,weibo.cn/1903123220/IzWipibvw,True,【南京景区取消扫码登记，游玩无需预约】21日，南京发布关于进一步优化疫情防控措施的第17号通告，通告中明确： 地铁公交、商业及景区等场所取消测温扫码。南京市各大景区公园将在这周内逐步取消对游客的体温检测和扫码登记。南京市莫愁湖景区在3月21日到4月30日期间，只要身着汉服就可以免门票进入，不限名额，无需预约。  http://t.cn/A6zD2QZJ ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:59,地铁,iPhone客户端,0,0,0
IzWiQrbup,3427266082,绝对领域JK,weibo.cn/3427266082/IzWiQrbup,True,#武汉地铁已做好恢复运营准备##小贴士# 23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:37,地铁,绝对领域JK超话,0,0,0
IzWiJFOXT,2688945243,盎司-沫沫,weibo.cn/2688945243/IzWiJFOXT,True,地铁过来太方便了。 福州·五四北  显示地图 原图 ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:37,地铁,iPhone客户端,0,0,0
IzWiE5hZL,7227927816,懒人健身咖,weibo.cn/7227927816/IzWiE5hZL,True,《女子地铁发疯“热吻”大叔，在车厢内脱光衣服，围观乘客沸腾了》  女子地铁发疯“热吻”大叔，在车厢内脱光衣服，围观乘客沸腾了  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:37,地铁,皮皮时光机,0,0,0
IzWiDuqyH,2049368710,武汉身边事,weibo.cn/2049368710/IzWiDuqyH,True,#武汉全面实施实名登记乘车# 【周知！未进行“身份认证”不允许乘车（船）】3月22日晚，武汉市新冠肺炎疫情防控指挥部运输保障与环境整治组发布了《关于在全市公共交通和出租汽车行业实施实名登记乘车的工作方案》，①常规公交按照“一车一码 、上下车扫码、一车一安全员”的模式进行安全管理。②地铁按照“一站一码、一车厢一码”的模式进行安全管理，安检前须扫描站内二维码获取健康状况和车站信息，向安检员出示后方可乘车；到站下车前扫描车厢内二维码上传同乘信息。③有轨电车、BRT参照地铁模式，进行安全管理。④轮渡按照“一渡口一码、一船一码”的模式进行安全管理。⑤出租车按照“一车一码”的模式进行安全管理。未进行身份认证的，不允许乘车。#武汉离解封不远了# （长江日报）http://t.cn/A6zDxMo8 [组图共2张] 原图 ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:37,地铁,微博 weibo.com,0,0,0
IzWiChrbO,5644572810,·顾之顾之·,weibo.cn/5644572810/IzWiChrbO,False,#郭老师直播和老公打起来了#网红郭老师直播时与老公发生肢体冲突两人动起手来了这是发生了啥有人说说吗？  [组图共9张] 原图 ,地铁老人看手机.JPG  ,娱乐潮流,无,2020-03-23 15:05,2020/03/23 15:06:37,地铁,彩虹屁制造机,0,0,0
IzWj5wwny,3923350181,涪陵法院,weibo.cn/3923350181/IzWj5wwny,True,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:13,地铁,360安全浏览器,0,0,0
IzWj4E0zw,5938384264,秋天云悦1234,weibo.cn/5938384264/IzWj4E0zw,True,🌴🌴   🚄🚄🚄🇨🇳🇨🇳          武汉地铁已做好恢复运营准备(含视频)_手机新浪网 武汉地铁已做好恢复运营准备  原图 ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:13,地铁,内置浏览器,0,0,0
IzWj4ls2U,6116606932,可达鸭永不低头,weibo.cn/6116606932/IzWj4ls2U,True,#杭州租房[超话]# 彭埠地铁站单间转租1650/月【不是中介，个人转租！】房子是房东直租的，位于彭埠花园府，小区环境非常不错，周边生活、交通方便，1号线4号线通，离东站非常近，亲测26分的高铁整点出门23之前能进站😂(没事儿还是不要尝试)房间比较小，适合单身男女一个人住，卫生间和其他两户公用，洗衣机也是公用，电费1元/度，水费20/月，因为工作变动去了滨江，所以转租。合同是到20年8月，可以续签，中途和房东说明也可转租。最早搬进来的时间是12月21日。@ ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:13,地铁,杭州租房超话,0,0,0
IzWiZ24CU,6426060344,少吃点怎么你了呢,weibo.cn/6426060344/IzWiZ24CU,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,！想！逛！街！  ,人民日报,无,2020-03-23 15:06,2020/03/23 15:07:13,地铁,HUAWEI nova 3,0,0,0
IzWiXxuKX,1349923355,网红领域,weibo.cn/1349923355/IzWiXxuKX,True,#武汉地铁已做好恢复运营准备##小贴士# 23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:13,地铁,绝对领域JK超话,0,0,1
IzWjm7RFi,5633905519,壹歌Aria,weibo.cn/5633905519/IzWjm7RFi,False,2019华语数字音乐年度报告【年度摇滚歌曲TOP20】 我人傻了，气冷抖颤何时站？  [组图共2张] 原图 ,陈粒那首还不错，不过这真的是摇滚吗//@中国摇滚帮:地铁老头看手机（加强版） 查看图片  ,独音记,无,2020-03-23 15:06,2020/03/23 15:07:53,地铁,iPhone客户端,0,0,0
IzWjizlKZ,2878720051,阳逻网事,weibo.cn/2878720051/IzWjizlKZ,False,#武汉复工复产#【武汉地铁已做好恢复运营准备！直击车站、列车消杀现场】2个月前的今天（1月23日），武汉公交、地铁全面停运。如今，随着疫情逐渐好转，城市功能和市民生活正在有序恢复。23日上午9点，汉口火车站等地铁站内，保洁人员正用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门、等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0ERK  http://t.cn/A6ze0u3D ,转发微博  ,楚天都市报,无,2020-03-23 15:06,2020/03/23 15:07:53,地铁,Android,0,0,0
IzWjeoUUq,6518255798,巨门子午,weibo.cn/6518255798/IzWjeoUUq,False,【铁路部门对#25条城际铁路票价打折优惠#：最大折扣5.5折】国铁集团决定对广珠城际等多条城际铁路部分动车组票价实行打折优惠。国铁集团客运部相关负责人介绍，此次票价打折优惠，涉及25条城际铁路共200余趟列车，最大折扣幅度为5.5折，将从3月25日起陆续实施。更多快讯，关注>>http://t.cn/RDjlgcD  原图 ,穗深地铁打折吗  ,新浪财经,无,2020-03-23 15:06,2020/03/23 15:07:53,地铁,iPhone客户端,0,0,0
IzWjcD1eL,5978428338,好惨一大脸,weibo.cn/5978428338/IzWjcD1eL,True,#武汉地铁已做好恢复运营准备#真得要哭了今天是待家里第62天  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:53,地铁,无,0,0,0
IzWj7BQop,3096705901,深圳市前海管理局,weibo.cn/3096705901/IzWj7BQop,True,#前海身边事#【五条粤港澳大湾区城际铁路2020年将陆续开工】3月20日，深圳市地铁集团举行粤港澳大湾区城际铁路建设项目工可研合同签约仪式，签约项目总长约410公里，总投资约2018亿元。此次签约的是深汕高铁、深惠城际铁路、深大城际铁路、龙岗至大鹏支线城际铁路、穗莞深城际前海至皇岗口岸段5个城际铁路项目工程可行性研究及配套专题项目签约。穗莞深城际前海至皇岗口岸段将在穗莞深城际延伸至前海的基础上，进一步延伸至福田中心区，支持前海自贸区、东莞滨海新城等重点发展片区快速建设。http://t.cn/A6zDMDIv 原图 ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:54,地铁,微博 weibo.com,0,0,0
IzWjyb4Qh,5521606430,遵义发布,weibo.cn/5521606430/IzWjyb4Qh,True,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:24,地铁,无,0,0,0
IzWjxhIaD,5269705105,沁源政法FXJ,weibo.cn/5269705105/IzWjxhIaD,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D （楚天都市报） ,转发微博  ,中国反邪教,无,2020-03-23 15:07,2020/03/23 15:08:24,地铁,Android,0,0,0
IzWjxhDL3,6292493440,老乡别跑00发,weibo.cn/6292493440/IzWjxhDL3,True,上过消防课 专家讲解那种 没记错的话当时说地铁作为密闭空间是最危险的没有之一 如果把防火代入防疫场景 高危地区地铁开启大概率意味着除外围以外(结合0天数) 全面解禁通行 社会流动性大部分很快就能正常运作了 好事  原图 ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:24,地铁,iPhone客户端,0,0,0
IzWjt9L7V,6898827275,懒人减肥小技能,weibo.cn/6898827275/IzWjt9L7V,True,《女子地铁发疯“热吻”大叔，在车厢内脱光衣服，围观乘客沸腾了》  女子地铁发疯“热吻”大叔，在车厢内脱光衣服，围观乘客沸腾了  ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:24,地铁,皮皮时光机,0,0,0
IzWjs1NJf,1974561081,网易财经,weibo.cn/1974561081/IzWjs1NJf,True,【印度：#新德里宣布封城至3月31日# 】印度新德里官方宣布，从23日上午6时至3月31日，在德里国家首都辖区的整个领土内进行封锁。新德里官方解释，这是非常时期采取的特殊措施。新德里官方22日说，将关闭所有进出新德里的国内和国际航班；封闭与其他各邦的边界通行；关闭城市商店，只允许牛奶店、杂货店、药店和加油站营业，生活必需品进入新德里不受此限；德里地铁也从22日起到月底全面停运；城市内包括私家车、电动三轮车、大部分公交车都要停运，只保留城市公交25%的运力，保证民众基础出行；新德里的警察也将对整个城市实施禁止令，禁止四人以上的聚会。（央视） 原图 ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:24,地铁,微博 weibo.com,0,0,0
IzWjQxJRe,6611021778,海拔资讯,weibo.cn/6611021778/IzWjQxJRe,True,【#海口啥时候开通地铁？#官方最新答复来了！】近日，“海口将在什么时候开通地铁？”这个话题引发关注。海口市发展和改革委员会答复，轨道交通建设正在积极推进中，相关规划已上报，正在组织审查中，具体开通时间尚不确定。http://t.cn/A6zDx3vT  原图 ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:04,地铁,360安全浏览器,0,0,0
IzWjP3uIR,1833037191,Korange-,weibo.cn/1833037191/IzWjP3uIR,True,我看郭老师的表情就像地铁上大爷看手机的表情是一样的这样看来我妈也可以当主播了  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:04,地铁,微博 weibo.com,0,0,0
IzWjOsZcs,2065277465,希尔瑞斯里,weibo.cn/2065277465/IzWjOsZcs,False,【独家|每天仍检出多例无症状感染者 援鄂疾控工作队暂缓撤回】中国疾控中心一位知情人表示，疾控部门队伍暂缓撤退，是国家层面“对武汉、湖北情况暂时不放心”，让防疫队停留几日，保持戒备。其中较令人担心的是无症状新冠病毒感染者的情况。如果确诊病例零增长势头能够保持并稳定下来，疾控队伍才能回撤。中疾控有关专家透露，“现在每天还能检出几例或十几例无症状阳性者，还不能判断武汉的传播是否彻底阻断”。 http://t.cn/A6zD74Ct 原图 ,地铁上早就人挤人了，现在还取消验码已经有不可理喻的人拒绝戴口罩惹//@安吉拉赫本:只要一旦出现大面积复工，我的所有分队跟我自己都不会再出门。那些有能力的也都不要出门！听不进去劝的中老年要摘口罩去楼下聊天那没办法，刚需复工人群要保护好自己。没钱饿了还能想办法，命没了就真的什么都没了  ,财新网,无,2020-03-23 15:08,2020/03/23 15:09:04,地铁,iPhone客户端,0,0,0
IzWjN0cqi,6158615925,你知道茴字有多少种写法吗,weibo.cn/6158615925/IzWjN0cqi,True,有一说一 重庆2号线是我至今为止坐过的景色最好的轻轨/地铁 当初晚上还会绕路坐2号线回酒店 还有3号线看上去也很好看 每次坐2号线快到牛角沱站的时候 看着3号线的轻轨在大桥上来来去去 哇 那个感觉简直了  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:04,地铁,微博 weibo.com,0,0,0
