微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IzZPGxPsi,1810594092,息吹,weibo.cn/1810594092/IzZPGxPsi,False,*朗布兰奇*寒冷的冬夜里，Lynn在多伦多的一家夜店外面和一位陌生的男子亲热，她想找个陌生人度过今晚，然而在答应去男子家中后，她才发现他家远在三小时车程外的朗布兰奇，地铁上...这原本令人兴奋的气氛开始变得尴尬起来...《朗布兰奇》由出色的摄影、梦幻般独立摇滚配乐以及演员们精湛的演技组成，恰当好处地描写了当代年轻人如何处理自身并不理想的生活，并在最不期望的时刻坠入爱河，开启一段微妙而又崭新的关系。即使在短视频时代，也不要因为时长而让自己错过好作品❤️#海外综艺安利# http://t.cn/A6zklgN7 ,//@Tiger公子:我的天哪三个小时地铁➕公交车➕巴士➕自行车才能到的地方，男主如果一开始就说了，绝对灭嗨啊哈哈哈哈  ,internet-garcon-pdf,无,2020-03-24 00:05,2020/03/24 00:06:00,地铁,iPhone客户端,0,0,0
IzZPQkY41,5282069018,园韭菜,weibo.cn/5282069018/IzZPQkY41,True,#武汉地铁已做好恢复运营准备#  ,/,/,无,2020-03-24 00:05,2020/03/24 00:06:32,地铁,iPhone客户端,0,0,0
IzZPOgzzY,2041386373,圆嘟嘟不是肥嘟嘟,weibo.cn/2041386373/IzZPOgzzY,False,#你认识的富二代都啥样# 这个很有意思吧 ，就你身边来说吧 （这里的富二代标准是:你觉得是富二代他就是富二代）  原图 ,哈哈哈哈哈那真是辛苦了//@Ruinsso:跟一个富二代朋友聊到初恋，他说 你都不知道我为我初恋付出了多少，我为了她 都学会了坐地铁  ,喜脉洗脉,无,2020-03-24 00:05,2020/03/24 00:06:32,地铁,OPPO Reno,0,0,0
IzZQefcvY,1857811827,深圳租房团,weibo.cn/1857811827/IzZQefcvY,True,福田区2号线香梅北地铁口D出口2室1厅5000元/月http://t.cn/AiE7Z2bQ  原图 ,/,/,无,2020-03-24 00:06,2020/03/24 00:07:05,地铁,租房团,0,0,0
IzZQd7Fsq,1138261151,起司酥,weibo.cn/1138261151/IzZQd7Fsq,True,封城记-给记忆力越来越差的自己的流水账20200323 Mon Day 61  开工就还是挺开心，毕竟工作使人快乐！靠上班感觉还和外部有联系。公交地铁已经开始消杀了，还好去公司是两轮或者步行能到的距离，不过写字楼的电梯和各种公共区域也是极大的隐患，感觉每天洗八百遍手都保证不了安全感(ﾉಥ益ಥ)  粮库充足的感觉真是让人安心，照这个势头如果一直能在家办公的话还是可以再坚持几个月，毕竟像去年那样，日光性荨麻疹犯了的话，不出门才是王道。  继续八百年前看了一半的《川菜的品格》，真是太下饭了，口水花花的，想起妈妈的泡菜坛子，真的是好吃得不得了，可惜已经好多年没再做了。  看完了北欧风格的一本不好评价的小说，整个情节都很意识流，最后两章的内容波澜壮阔更晓显得前面十七章的铺垫有点冗长和枯燥无味，相对来说，另一本《我是个年轻人，我心情不太好》就更好代入理解和轻快的多。这种书真的是书背的介绍和电影预告片一样精彩。  看了周董的周游记，两只会唱歌的双J棒棒的，期待合作啊，就算不唱歌，变魔术也是可以的。 http://t.cn/R2WxQOQ 显示地图 ,/,/,http://t.cn/R2WxQOQ,2020-03-24 00:06,2020/03/24 00:07:05,地铁,荣耀8X,0,0,0
IzZQd5isK,5842737203,坚果麻麻爱你呀,weibo.cn/5842737203/IzZQd5isK,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,❤️❤️❤️  ,人民日报,无,2020-03-24 00:06,2020/03/24 00:07:05,地铁,nova4e 3200W立体美颜,0,0,0
IzZQ9wLIV,5523588640,等等的心情日记,weibo.cn/5523588640/IzZQ9wLIV,True,每天下班和大红哥一起走去地铁的路上，能从这个走南闯北的徒步爱好者身上学到不同的知识，从生活到娱乐从历史到政治，丰富的阅历确实能给人带来好感。听完他的安利。想去新疆摘葡萄、想去四川看熊猫、想去重庆吃火锅、想去青岛喝啤酒、想去塔克拉玛干沙漠压马路、想去五台山祈福、想去西藏阿里看日落。不过 还是先找个时间把和坤的恭王府看一下，转转后海的两岸商街大红哥说，趁着还在北京，多了解了解我们的历史发展，是很有趣的。原来上学的时候怎么一点不感兴趣，因为不能到现场去感受，是被动的。忙碌又充实的一天 趁着年轻 多多体验不一样的生活吧 晚安 ,/,/,无,2020-03-24 00:06,2020/03/24 00:07:05,地铁,iPhone客户端,0,0,0
IzZQtiRtx,3887908363,cchost,weibo.cn/3887908363/IzZQtiRtx,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,//@人民日报:【人民微评：开往春天的地铁】尽管武汉地铁何时恢复运营，尚未最终确定，但全面消杀行为是一个信号，带给市民憧憬。被疫情裹挟的沉重时光终会过去，被打乱的生活也会重归正轨。谁都挡不住春光照拂人心，遏制不住人们对安宁生活的向往。终有一天，开往春天的地铁载着我们抵达美好未来。  ,人民日报,无,2020-03-24 00:06,2020/03/24 00:07:45,地铁,小米6 拍人更美,0,0,0
IzZQq4tqc,2288027574,霆霆的小寶貝,weibo.cn/2288027574/IzZQq4tqc,True,不出意外 半個月後我應該可以在地鐵享受別人給我讓座的權利了  ,/,/,无,2020-03-24 00:06,2020/03/24 00:07:45,地铁,iPhone客户端,0,0,0
IzZQiFS1s,5136896904,骨速,weibo.cn/5136896904/IzZQiFS1s,False,过个安检非要让我把肛塞翻出来大庭广众的给你看看 丢死人了 上海·上海虹桥国际机场  ,试试象牙的 //@有毒的无语：艹呵呵红红火火恍恍惚惚哈哈哈哈哈//@生姜面w:忘记。。摘。。？//@纵锦浪里:笑晕了哈哈哈哈哈哈哈哈哈 我上次也是 坐地铁忘记摘哈哈哈哈哈  ,YourJinji-M,无,2020-03-24 00:06,2020/03/24 00:07:45,地铁,微博 HTML5 版,0,0,0
IzZQGATU3,5455635216,可懒贼,weibo.cn/5455635216/IzZQGATU3,True,#杭州滨江租房[超话]#博奥路地铁口  滨康地铁口  荣星君园  2房朝南  2室2卫一厅一厨  带阳台 原房东直租  [奸笑][奸笑][奸笑][奸笑] 可懒贼的微博视频  ,/,/,无,2020-03-24 00:07,2020/03/24 00:08:16,地铁,杭州滨江租房超话,0,0,0
IzZQBCLtk,5043563095,Fine_Fiona,weibo.cn/5043563095/IzZQBCLtk,True,我以前不dull吗？以前更dull大半夜整理作品集（露出地铁老头看手机的表情这他妈一部分文章文风跟另一部分不一样是咋回事另一部分真的看一眼烧了算了害 不过有些东西现在真没法写 喝口林德曼睡觉 梦里啥都有  ,/,/,无,2020-03-24 00:07,2020/03/24 00:08:16,地铁,HUAWEI P20,0,0,0
IzZQxtUDS,2518349702,譚亮u,weibo.cn/2518349702/IzZQxtUDS,True,永远记得你出门的这一年，在长沙所经历过的种种困难和委屈，拖着行李上高铁地铁的那一刻是多么孤独寂寞，心酸如梗在咽，二叔关心你替你说话，患难时刻方显人心。这一辈子都记得，也算是你的人生之中的一段经历，看透了人世间人情淡薄。只有自己强大了，才不会依赖任何人，更不会畏惧一切。 http://t.cn/R2WxlNg 显示地图 [组图共4张] 原图 ,/,/,http://t.cn/R2WxlNg,2020-03-24 00:07,2020/03/24 00:08:16,地铁,HUAWEI nova 2s,0,0,0
IzZQTjBr0,5124770651,周一念,weibo.cn/5124770651/IzZQTjBr0,True,外婆突然离开我们，昨晚十一点得到消息后，我一边哭一边冷静搜索最快时间回家的票。凌晨五点坐车，夜晚九点到外婆家。安慰妈妈，安慰外公，“见”到外婆最后一面，并和她说了好多话。今天两点开始坐车往广州赶，我自以为自己很坚强，将事情安排的妥当。可直到我还是在地铁频繁换线之间迷路了，原地周旋无果，有人看出我的窘迫并好心相助时，坚强铸建起来的围墙瞬间崩塌了。 ,/,/,无,2020-03-24 00:07,2020/03/24 00:08:50,地铁,HUAWEI P10,0,0,0
IzZQPbLOl,2198245185,一本史书,weibo.cn/2198245185/IzZQPbLOl,False,#末班车# 明日起，昌平线、八通线两条线路将先行使用超常超强列车运行图。昌平线最小运行间隔缩至2分，八通线最小运行间隔缩至1分58秒。我们已做好准备！  原图 ,@京港地铁  ,北京地铁,无,2020-03-24 00:07,2020/03/24 00:08:50,地铁,HUAWEI G9 青春版,0,0,0
IzZRb5Hwh,3306393905,头疼咖喱饭,weibo.cn/3306393905/IzZRb5Hwh,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,啊。。。终于可以回去了  ,人民日报,无,2020-03-24 00:08,2020/03/24 00:09:26,地铁,华为手机 畅享玩不停,0,0,0
IzZR9ABpk,6084621827,JUNKYUKIN,weibo.cn/6084621827/IzZR9ABpk,True,#葵甜[超话]# 有人在(地铁站？)投放了葵甜的广告  [组图共2张] 原图 ,/,/,无,2020-03-24 00:08,2020/03/24 00:09:26,地铁,葵甜超话,0,0,0
IzZR65GcP,1825827262,没过六级不改名_,weibo.cn/1825827262/IzZR65GcP,True,为什么又有带专人认为我们专业毕业可以轻轻松松进地铁公司  原图 ,/,/,无,2020-03-24 00:08,2020/03/24 00:09:26,地铁,华为手机 畅享玩不停,0,0,0
IzZRfbdr7,5155888201,沈阳mt倪佳,weibo.cn/5155888201/IzZRfbdr7,True,沈阳现在的外地人真多啊 整座城市里都是外地畜生！外地人没有好东西！ #沈阳地铁##沈阳##沈阳生活#                        沈阳  显示地图 ,/,/,#沈阳生活#,2020-03-24 00:08,2020/03/24 00:09:59,地铁,iPhone客户端,0,0,0
IzZRyp6Fg,2019900461,浮标母,weibo.cn/2019900461/IzZRyp6Fg,False,小新坐地铁，把地铁里不文明的人全都讽刺了一遍（by蜡笔小新那些事儿）蜡笔小新那些事儿的微博视频  ,转发微博  ,北京人不知道的北京事儿,无,2020-03-24 00:09,2020/03/24 00:10:35,地铁,iPhone客户端,0,0,0
IzZRy98kG,1803818467,心動許可,weibo.cn/1803818467/IzZRy98kG,True,刚才看到聊xsr的帖子点进去一看没想到原来多多少少都有这种经历 小学在公园碰到wsn摸着裤链笑着问要不要看 路上也被光明正大地纠缠 “我喜欢这个姑娘”一开始没反应过来被姐妹赶紧拉走 在地铁站再小心也会在人挤人的时候被摸到 穿吊带穿短裙也会因为不怀好意地笑而浑身不自在  ,/,/,无,2020-03-24 00:09,2020/03/24 00:10:35,地铁,iPhone,0,0,0
IzZRug4OI,3817231929,与你的银河日记,weibo.cn/3817231929/IzZRug4OI,True,说真的 自从发生了n号房那个事情之后我在地铁出站的扶手电梯上周围站的全是男性的时候瞬间鸡皮疙瘩起一身整个人处于一种高度紧张的状态中 上了地面以后才有所缓解可能心里突然就有一种莫名的恐惧了......  ,/,/,无,2020-03-24 00:09,2020/03/24 00:10:35,地铁,kwin|iPhone 11 Pro,0,0,0
IzZRsuqFQ,5275257097,我就是你认识的虫,weibo.cn/5275257097/IzZRsuqFQ,True,地铁站外的一片小菊花  [组图共4张] 原图 ,/,/,无,2020-03-24 00:09,2020/03/24 00:10:35,地铁,iPhone客户端,0,0,0
