微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IzY77E615,2324662293,一个不愿意透露姓氏的罗同学,weibo.cn/2324662293/IzY77E615,True,再不开学就疯了 天天无端端被人骂又不是我不出来吃饭 被骂的人却是我有病病  ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:16,开学,荣耀9 美得有声有色,0,0,0
IzY77ock2,5460460833,绝味蛋仔,weibo.cn/5460460833/IzY77ock2,True,别开学了我在家吃吃喝喝过的挺开心的 泰州·牧城公园  显示地图 [组图共6张] 原图 ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:16,开学,iPhone客户端,0,0,0
IzY776Xzl,2009041585,Matatacici,weibo.cn/2009041585/IzY776Xzl,True,事到如今，再不开学我真的要学做饭了  ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:16,开学,Android,0,0,0
IzY76viOJ,2909854272,fx想长大啊啊啊,weibo.cn/2909854272/IzY76viOJ,True,#辽宁开学时间# 上网课的唯一好处是可以躺着听，不会背疼  ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:16,开学,Redmi K20 Pro 真旗舰,0,0,0
IzY76uLVm,6991875004,托比欧啊_我的托比欧,weibo.cn/6991875004/IzY76uLVm,True,救命快开学吧，我现在在家饭量和猪一样，今天晚上，我刚刚吃完一大盆捞面，一个炸鸡腿，三个蛋挞，一瓶汽水。 救救我，别再让我吃了。。看到食物我就想把它们干掉。  ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:16,开学,nova5Pro人像超级夜景,0,0,0
IzY73wcev,2694092971,无水的泅泳罢了,weibo.cn/2694092971/IzY73wcev,True,我妈：你怎么还不开学啊 看到你好烦哦  ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:16,开学,无,0,0,0
IzY73ezYH,6515424051,蛋清要多吃蔬菜,weibo.cn/6515424051/IzY73ezYH,True,还不开学 我已经不想读书了 心野了  ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:16,开学,iPhone 8,0,0,0
IzY7oeSae,6606266782,Katherinecc,weibo.cn/6606266782/IzY7oeSae,True,好想开学 见想见的人🙈  [组图共3张] 原图 ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:54,开学,OPPO智能手机,0,0,0
IzY7lwuRC,3216944862,是柚子味的小仙女,weibo.cn/3216944862/IzY7lwuRC,True,#湖南开学时间##长沙开学# 已经放了两个月的假了 快要忘记自己是做什么的了  ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:54,开学,iPhone客户端,0,0,0
IzY7knw0M,5694380359,筐箩,weibo.cn/5694380359/IzY7knw0M,True,不开学的女大学生出门都是抢弟弟衣服穿的  [组图共2张] 原图 ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:54,开学,HUAWEI nova 3,0,0,0
IzY7jtAek,2924296421,C程V,weibo.cn/2924296421/IzY7jtAek,True,再不开学都要急疯了 界首市  显示地图 ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:54,开学,nova4自拍极点全面屏,0,0,0
IzY7jdwx1,2117150813,我想改个好听的微博名儿,weibo.cn/2117150813/IzY7jdwx1,False,【多省市开学时间已定！你的作业写完了吗？】时间慢慢逼近3月底，全国各地不少家长和学生都在期盼开学。3月23日，#云南开学#。此外，青海、贵州、山西、陕西、海南、内蒙古、广西、西藏、新疆、宁夏、江苏、辽宁等10多个省市区也确定了#开学时间#。眼看着快开学了，你的作业写完了吗？ http://t.cn/A6zD8dcU ,辽宁这也算确定开学时间？？哈哈😃  ,中国之声,无,2020-03-23 19:42,2020/03/23 19:43:54,开学,三星A8s黑瞳全视屏,0,0,0
IzY7jbs8J,5150891025,不如冬相伴,weibo.cn/5150891025/IzY7jbs8J,True,🖤 三月也快结束了，悲催的一个月🙃最近也确实发生了很多倒霉的事: 定好的酒店因为开学不能去了、美团不给退款、不能去见好朋友、快递被人拿走、另一个快递柜子坏了打不开、回家怎么都解不开指纹锁、丢了一支口红等等等等……嗨呀，不过这些事情虽然是挺糟心，不过还好都能有解决的办法。于是我再一次无比感恩上天能让我拥有很多别的美好的东西！希望下个月能顺顺利利吧！干巴爹！ ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:54,开学,三星Note10,0,0,0
IzY7iA7rr,5522055889,花枝招展的黑花怪,weibo.cn/5522055889/IzY7iA7rr,True,开学日记 2020年3月23日 天气晴今天没开学  ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:54,开学,iPad mini,0,0,0
IzY7izIdp,5446501932,月影风荷M,weibo.cn/5446501932/IzY7izIdp,True,快开学吧，衣服都在学校，羽绒服穿不住啦  原图 ,/,/,无,2020-03-23 19:42,2020/03/23 19:43:54,开学,Android,0,0,0
IzY7hrgSf,7140465810,qyx今天也要加油呀,weibo.cn/7140465810/IzY7hrgSf,False,#泰安要开学了# 【#泰安#3月27日前完成高中学校（含中等职业学校）核验工作】记者从3月23日召开的泰安市学校春季开学条件核验工作视频会议上获悉，全市各中小学校、驻泰各高校将接受春季开学条件核验。根据相关工作安排，3月27日前完成高中学校（含中等职业学校）的核验工作。据了解，核验工作原则上在学校开学一周前完成。先期进行高中学校（含中等职业学校）的核验，高中学校（含中等职业学校）要在3月25日自查整改到位，并向当地教育部门提出核验申请，核验组在3月27日前完成高中学校（含中等职业学校）的核验工作。核验未达标的学校，3月28日至29日集中整改，整改后再审核核验。泰安市将对各县市区的核验情况进行抽查。其他学校待具体开学时间确定后，按要求及时开展核验工作。详情请戳>>>http://t.cn/A6zkP8Cp 原图 ,回复@齐鲁网:感谢咯终于要开学啦~//@齐鲁网:回复@qyx今天也要加油呀:  ,齐鲁网,无,2020-03-23 19:42,2020/03/23 19:43:54,开学,微博 weibo.com,0,0,0
IzY7EtX80,2913106887,氢化砷_,weibo.cn/2913106887/IzY7EtX80,True,何时开学啊啊啊啊啊啊啊啊啊啊啊  ,/,/,无,2020-03-23 19:43,2020/03/23 19:44:32,开学,金浩森超话,0,0,0
IzY7E9xOr,5268614816,你的candybaby,weibo.cn/5268614816/IzY7E9xOr,True,#云南开学#就这样呗，云南大部分地区教育那么落后，平时就无止境的补课，考的不好老师们总爱说的就是 别假装勤奋，这个话对地区学校挺适用啊，害  ,/,/,无,2020-03-23 19:43,2020/03/23 19:44:32,开学,iPhone客户端,0,0,0
IzY7DyFmL,3176883882,21世纪的今天,weibo.cn/3176883882/IzY7DyFmL,True,#当得知开学时间后的你#？？？？？？？  ,/,/,无,2020-03-23 19:43,2020/03/23 19:44:32,开学,vivo智能手机,0,0,0
IzY7DjvZM,6679893382,白方几又D,weibo.cn/6679893382/IzY7DjvZM,True,刚开学没多久选修课老师就给我们放一个关于退学的纪录片但不得不说 还蛮好看的…  ,/,/,无,2020-03-23 19:43,2020/03/23 19:44:32,开学,iPhone客户端,0,0,0
IzY7CEv0s,2079522107,Ren1sss,weibo.cn/2079522107/IzY7CEv0s,True,今年已经过去快四分之一了 这样无限期推迟开学真的可以吗  原图 ,/,/,无,2020-03-23 19:43,2020/03/23 19:44:32,开学,iPhone客户端,0,0,0
IzY7BuwBU,5915602175,AA打不死的小强,weibo.cn/5915602175/IzY7BuwBU,True,图说 | @即将开学的你 调整心态 做好防护，你准备好了吗？ - 中国日报网@QQ浏览器 http://t.cn/A6zkhMso 呼伦贝尔  显示地图 原图 ,/,/,http://t.cn/A6zkhMso,2020-03-23 19:43,2020/03/23 19:44:32,开学,荣耀10 AI变色更潮美,0,0,0
IzY7BdDUg,5464622175,懒澜万事屋,weibo.cn/5464622175/IzY7BdDUg,True,四-五月份才会开学  怕了怕了怕了…  ,/,/,无,2020-03-23 19:43,2020/03/23 19:44:32,开学,iPhone XR,0,0,0
IzY7zsCrT,2492166582,云南万通汽修学校,weibo.cn/2492166582/IzY7zsCrT,True,喜讯！又一批新设备到校赶快回来吧！同学新设备等着你们老师已经迫不及待想开学了  [组图共9张] 原图 ,/,/,无,2020-03-23 19:43,2020/03/23 19:44:32,开学,微博 weibo.com,0,0,0
IzY7SnCd6,5242849303,韦伯的马甲,weibo.cn/5242849303/IzY7SnCd6,True,再不开学，我的厨艺要达到开饭店的水平了  原图 ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:04,开学,iPhone客户端,0,0,0
IzY7S5VBR,5136970679,驻地球人类观察员016,weibo.cn/5136970679/IzY7S5VBR,True,我一点也不想在家待下去了，快点开学吧。我不想听吵架了。我讨厌大吼大叫，讨厌无逻辑无理的争吵。一想到我也许老了就会变成那样，我觉得很可怕，世界上没有比这更恐怖的事了。所以我要走得远远的，离他们远远的。  ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:04,开学,iPhone客户端,0,0,0
IzY7Rdyhi,5651673432,Miraitowa-YJing,weibo.cn/5651673432/IzY7Rdyhi,True,还开学吗？？ 吴忠 Miraitowa-YJing的微博视频  显示地图 ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:04,开学,OPPO K5,0,0,0
IzY7QA5fI,3225645600,甜啵布蕾,weibo.cn/3225645600/IzY7QA5fI,True,有完没完真是闲死你们了 快点开学吧  ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:04,开学,想出去玩的Android,0,0,0
IzY7P90iN,3113571975,松树林里的枫树,weibo.cn/3113571975/IzY7P90iN,True,明天要去学校发书，可是什么时候才能开学呢[雪人][雪人]  原图 ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:04,开学,iPhone客户端,0,0,0
IzY7OvCZK,2785188781,白茶奶霜,weibo.cn/2785188781/IzY7OvCZK,False,【#广州每天新增入境隔离上千人# 隔离酒店增加至76个】广州市商务局党组成员、副局长魏敏：截至3月22日0时，全市入境旅客隔离人数9180人，其中集中隔离4266人，居家隔离4914人。中国籍（含港澳台）6938人，外国籍2242人。连日来，广州隔离人数均以每天新增上千人的速度增长，为了满足隔离需要，不断优化调整全市隔离场所，全市的隔离酒店已从40个增加至76个。确定隔离酒店住宿标准，住宿费用原则上最高不超过350元/天/人，伙食费标准根据实际情况确定。@广州日报 原图 ,我死了//@糖芯_Sweet:别湖北都开学了，北上广还在放假  ,人民网,无,2020-03-23 19:44,2020/03/23 19:45:04,开学,iPhone客户端,0,0,0
IzY7N2SpX,5845764447,我超冷漠_,weibo.cn/5845764447/IzY7N2SpX,True,开学考都biss的嘛害怕ing 苏州·花桥国际华城  显示地图 ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:04,开学,iPhone客户端,0,0,0
IzY7LxM8U,6374208508,xunanya,weibo.cn/6374208508/IzY7LxM8U,True,今儿愿望是快着点儿开学  [组图共2张] 原图 ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:04,开学,iPhone客户端,0,0,0
IzY7KoFNf,6764687629,叫我大大大长腿,weibo.cn/6764687629/IzY7KoFNf,True,哪个男孩不想早点开学呢  原图 ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:04,开学,Share微博客户端,0,0,0
IzY7KlKpf,3841484276,六六难得糊涂,weibo.cn/3841484276/IzY7KlKpf,False,#我的生活一角#新的一周，都好吗？ 绿洲  原图 ,好得很，右边你来替我上班来//@奶希不是奶昔是奶酪:再不开学我要废了 现在的生活太仙儿了，不现实  ,于湉,无,2020-03-23 19:44,2020/03/23 19:45:04,开学,荣耀8X,0,0,0
IzY87a1hR,5375603707,韩城检察,weibo.cn/5375603707/IzY87a1hR,True,#多地明确开学时间# 全国各地的家长和学生都在期盼开学。3月23日，#云南开学#，全国已有16个省市区确定了#开学时间# ，还未公布具体开学时间的省市也做出最新部署。你期待开学吗？ 你期待开学吗？  ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:38,开学,360安全浏览器,0,0,0
IzY86ebba,2332808060,云视网,weibo.cn/2332808060/IzY86ebba,True,【图说 | @即将开学的你 调整心态 做好防护，你准备好了吗？】近期，全国各省陆续公布开学时间，度过了一个超长假期的你准备好重返校园了吗？http://t.cn/A6zDYaLC  ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:38,开学,微博 weibo.com,0,0,0
IzY85ohha,5116168955,穿穿拖鞋拿拿太阳伞,weibo.cn/5116168955/IzY85ohha,True,妈妈我不想开学清醒点！你可是老师啊！我就想如此浑浑噩噩😭别无他求😌  [组图共4张] 原图 ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:38,开学,HUAWEI nova 3,0,0,0
IzY85kJvM,2993097312,弹啵玩家,weibo.cn/2993097312/IzY85kJvM,True,老天爷，让我开学吧，让我开学吧真的让我开学吧，俺发现英语作业截止了，我还有一半没有完成(´ﾟωﾟ｀)  ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:38,开学,nova4自拍极点全面屏,0,0,0
IzY83ADZJ,5651932046,乌鸦来自南方,weibo.cn/5651932046/IzY83ADZJ,True,今日心愿：等我头发出来在开学  原图 ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:38,开学,HUAWEI P20,0,0,0
IzY83jJSz,6019249063,e-xin一易,weibo.cn/6019249063/IzY83jJSz,True,#又到了乱穿的季节#大学生是真的惨，迟迟不开学，已经没衣服穿了  原图 ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:38,开学,前后2000万 OPPO R11,0,0,0
IzY831iEx,6098853326,斜杠青年孙宸宸,weibo.cn/6098853326/IzY831iEx,True,#开学时间# 你躺在藤椅上听着歌，你孙子和你说，爷爷你学校开学了，快上去学吧  ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:38,开学,iPhone客户端,0,0,0
IzY8304b3,1728447825,仲夏雨夜的第七章,weibo.cn/1728447825/IzY8304b3,True,我现在这种既期待开学，又害怕的心理真的是一言难尽。  原图 ,/,/,无,2020-03-23 19:44,2020/03/23 19:45:38,开学,iPhone客户端,0,0,0
IzY8BhVFB,2703808500,困扰的男人A,weibo.cn/2703808500/IzY8BhVFB,True,孝子之至，莫大乎尊亲；尊亲之至，莫大乎以天下养。山西省2019-2020年度  高三开学“旗开得胜”高考模拟考试  尽在@启晗联考 山西五校联考 山西金太阳联考吕梁二模             尽在@启晗联考 九师联盟 广东一模 广州一模福建省质检如果有困难 记得有我！@启晗联考  http://t.cn/A6zRefx0  ,/,/,无,2020-03-23 19:45,2020/03/23 19:46:51,开学,微博 weibo.com,0,0,0
IzY8A4Nvx,5127370206,榛榛果酱,weibo.cn/5127370206/IzY8A4Nvx,True,开学后我的羊和兔会散落在学校 我妈家 我奶奶家......等有一天我有自己家他们就可以团聚了  原图 ,/,/,无,2020-03-23 19:45,2020/03/23 19:46:51,开学,00:00🌙 iPhone客户端,0,0,0
IzY8zv8Ue,5196579466,lichee_锁芯,weibo.cn/5196579466/IzY8zv8Ue,True,自从一个人在家之后，就没有想要开学了虽然……但是……（支支吾吾jpg）  ,/,/,无,2020-03-23 19:45,2020/03/23 19:46:51,开学,小米6 拍人更美,0,0,0
IzY8zcguj,6432193224,两颗薄荷糖v,weibo.cn/6432193224/IzY8zcguj,True,天津四川手牵手 谁先开学谁是狗  ,/,/,无,2020-03-23 19:45,2020/03/23 19:46:51,开学,微博国际版,0,0,0
IzY8xrPye,6130008885,-寐阿,weibo.cn/6130008885/IzY8xrPye,True,如果我能在开学前补完神放 那真是  ,/,/,无,2020-03-23 19:45,2020/03/23 19:46:51,开学,广安里儿媳Android,0,0,0
IzY8xbdl3,3034760801,温州微博新鲜事,weibo.cn/3034760801/IzY8xbdl3,True,#温州新鲜事# 据网友私信:请问在未确定开学时间，温州市某所高中内部强制学生上缴学费且为原价，是否合理？ 温州  显示地图 原图 ,/,/,#温州新鲜事#,2020-03-23 19:45,2020/03/23 19:46:51,开学,iQOO Pro 5G性能旗舰,0,0,0
IzY8wgFkl,5446955782,遠山黛之,weibo.cn/5446955782/IzY8wgFkl,True,每天都在很快开学和下半年开学之间思想激烈变化，给我整精神分裂了  ,/,/,无,2020-03-23 19:45,2020/03/23 19:46:51,开学,iPhone客户端,0,0,0
IzY8wfpt2,5531378049,猫咪不在家Y_,weibo.cn/5531378049/IzY8wfpt2,True,什么时候才能开学啊  原图 ,/,/,无,2020-03-23 19:45,2020/03/23 19:46:51,开学,魅蓝 E2,0,0,0
IzY8vEVbW,6100442033,叶小小耶·,weibo.cn/6100442033/IzY8vEVbW,True,我头发都长长了，都能绑马尾了，还不开学吗  ,/,/,无,2020-03-23 19:45,2020/03/23 19:46:51,开学,小米CC9 Pro 一亿像素,0,0,0
IzY8QncFb,6472072456,可甜可盐wink源,weibo.cn/6472072456/IzY8QncFb,True,#开学时间#点开了热搜 我还是不知道自己什么时候开学 现在都不知道更想开学还是更不想开学了  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:27,开学,小米Note 3 拍人更美,0,0,0
IzY8Q2WbK,2809250944,来娶我狗命啊,weibo.cn/2809250944/IzY8Q2WbK,True,啥时候开学啊啊啊啊啊，在不开学要直接毕业了#福建开学#  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:27,开学,HUAWEI P20,0,0,0
IzY8MwZmN,5876759269,漫妙纤纤17,weibo.cn/5876759269/IzY8MwZmN,True,我在看：【孩子：“天天被嫌弃，到底啥时候能开学？”答案来了！】#跟新浪看热点#  孩子：“天天被嫌弃，到底啥时候能开学？”答案来了！  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:27,开学,新浪新闻客户端,0,0,0
IzY8MuoBt,6095993660,张玮辰cc,weibo.cn/6095993660/IzY8MuoBt,True,#广州开学时间#为什么我们老师说四月中才开学 广州  显示地图 原图 ,/,/,#广州开学时间#,2020-03-23 19:46,2020/03/23 19:47:27,开学,vivo Y3标准版,0,0,0
IzY8LDvXJ,6089096475,-北凉以北,weibo.cn/6089096475/IzY8LDvXJ,True,再不解封化妆品都要过期了工作没着落就要稀里糊涂的毕业了#开学时间# 武汉  显示地图 [组图共4张] 原图 ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:27,开学,iPhone客户端,0,0,0
IzY8K7gxv,6596422470,Universeforss_,weibo.cn/6596422470/IzY8K7gxv,True,#开学时间#蹲蹲天津  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:27,开学,don'tAndroid,0,0,0
IzY8IEfa5,6022054813,暮雪琉璃00,weibo.cn/6022054813/IzY8IEfa5,True,春装夏装都在学校，再不开学真的没有衣服可穿了#等到了真正开学的时候# 我要穿棉衣上学了  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:27,开学,荣耀20i,0,0,0
IzY8Gktkz,6771454253,总共一百斤,weibo.cn/6771454253/IzY8Gktkz,True,到底什么时候开学啊初中生很闲吗！！！天天上微博造口业觉自己年轻玩得起吗…  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:27,开学,Android,0,0,0
IzY8Gi2Tn,6203256610,努力努力再努力的鑫,weibo.cn/6203256610/IzY8Gi2Tn,True,渐渐的感觉也没那么想开学了，哈哈哈哈减肥减肥！ 禹城市  显示地图 [组图共2张] 原图 ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:27,开学,前置双摄vivo X9Plus,0,0,0
IzY8G1x5s,5147383334,aSadSwan,weibo.cn/5147383334/IzY8G1x5s,True,大英赛延迟计算机二级延迟初级会计延迟开学可怎么办  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:27,开学,iPhone客户端,0,0,0
IzY93mMVI,3544632877,魏魏魏WY呀,weibo.cn/3544632877/IzY93mMVI,True,我最喜欢小李说开学我带你去吃哈哈哈哈哈哈哈哈哈  原图 ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:58,开学,nova5Pro人像超级夜景,0,0,0
IzY93kSHT,3766779630,今天跑步了吗xjcnxm,weibo.cn/3766779630/IzY93kSHT,True,我觉得我快被憋疯了，真的好想开学啊我我我  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:58,开学,微博国际版,0,0,0
IzY935aCW,5586211086,妙龄少女王栓肥,weibo.cn/5586211086/IzY935aCW,True,我这两天被🐠的人整的没脾气了……拍下不付快一天了人还不上线秒拍秒退我问怎么回事还已读不回 说个不好意思就很难？没礼貌跟我说没解禁拖了半个月不发，现在都快开学我问才说是她妈不让她出门……那你全家这半个月都没去买菜吗不能顺便寄？？？？？还有好多人都是，问个“还在吗？”我说在呢（页面说过了）可以直接拍噢然后就不理我了，再也不见了，消失了 ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:58,开学,Android,0,0,0
IzY933eYC,6078432361,是-諾甜甜吖,weibo.cn/6078432361/IzY933eYC,True,2020-3-23#今日分享# 1-阳光依旧很暖2-最喜欢的书店#博文书店# 一如既往，想高中数学题了，也找到了想读的书#伽利略的苦恼# 3-突然想吃小蛋糕#卡米诺# 换掉了固定不变的纯黑巧克力，粉粉的草莓确实很甜（没来得及拍它的真容就被我吧唧吧唧吃掉了）      综上所述，从早上开始到现在，心情保持持续愉悦状态🙈      最后的最后，嘿嘿嘿，还是请麻烦迟点迟点迟点再迟点开学吧 [组图共9张] 原图 ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:58,开学,Android,0,0,0
IzY92tfhW,6126643041,朱Y朱,weibo.cn/6126643041/IzY92tfhW,True,#开学时间#如果可以的话，我愿意一直是个学生  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:58,开学,柔光自拍vivo X7Plus,0,0,0
IzY91B4hG,3979868385,一杯大可800cc,weibo.cn/3979868385/IzY91B4hG,True,今天又出去放风啦 吃了贼多油腻腻 在家吃太清淡导致吃第二个荠菜生煎的时候已经腻到呆滞了 快要开学了 我竟然有点失落迷上百香果柠檬蜜➕苏打水  贼好喝 差个椰果就是coco双响炮了🤓  [组图共9张] 原图 ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:58,开学,iPhone客户端,0,0,0
IzY905lRz,2712487595,西宁校园,weibo.cn/2712487595/IzY905lRz,True,#为开学做准备的我##你最期待春日里的什么# 是不是像极了开学时立flag 的你！  [组图共9张] 原图 ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:58,开学,OPPO智能手机,0,0,0
IzY8XqiNA,5787494890,蝇弓兔匪邀胞,weibo.cn/5787494890/IzY8XqiNA,True,终于在开学之前，理解了学前班就该明白的成长之痛；慢慢就到了不会怪罪任何人的年龄：只会当时生气和后来给点距离 赣州·当麦基  显示地图 ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:58,开学,iPhone客户端,0,0,0
IzY8UvcPp,1955859733,煎糊了的生煎包,weibo.cn/1955859733/IzY8UvcPp,True,我教室桌子上桔梗的水怕是臭了吧…………#开学时间#  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:58,开学,HUAWEI nova 3,0,0,0
IzY8Ucfsq,6268543931,虎牙少女恋上凯,weibo.cn/6268543931/IzY8Ucfsq,True,#开学时间#安徽啊你啥时候开学  ,/,/,无,2020-03-23 19:46,2020/03/23 19:47:58,开学,无,0,0,0
IzY9iagRh,5836123677,绮QH,weibo.cn/5836123677/IzY9iagRh,True,#开学时间# 什么时候开学呀网课再上下去我就要瞎了🙃 鞍山  显示地图 [组图共3张] 原图 ,/,/,#开学时间#,2020-03-23 19:47,2020/03/23 19:48:33,开学,vivo X23 AI非凡摄影,0,0,0
IzY9hfyor,3923938510,葉和好和周助,weibo.cn/3923938510/IzY9hfyor,True,烦那些不自己反思什么问题———没看清楚要求整天要我打作业回去的家长。现在知道你孩子什么毛病了吧？天天对着自家孩子不思教养，寄托于开学丢给老师的家长，你孩子后面还是这样。您只是眼不见为净罢了！  ,/,/,无,2020-03-23 19:47,2020/03/23 19:48:33,开学,荣耀10青春版,0,0,0
IzY9heDR9,7198695880,Jyy05,weibo.cn/7198695880/IzY9heDR9,True,距离中考还有90多天了 这次学校小测让我突然觉醒了 等开学才发现 只有你没有认真听网课 但是 由于自制力有限 不网上冲浪是不可能的 无论如何绝对会比以前有进步的 flag是每天都要比以前努力一点点！希望我不是个空话家。  ,/,/,无,2020-03-23 19:47,2020/03/23 19:48:33,开学,🐳的vivo Xplay5旗舰版,0,0,0
IzY9gjXmC,5409201236,硬撑plus,weibo.cn/5409201236/IzY9gjXmC,True,📚  高负荷周一再度上线联络口译 📓 连续4⃣周 终于抢到了发言的机会三创赛总算是让我鼓捣明白了 这个**老师 骂他一百遍都不解气 我就是负责给他擦屁股的咱四个迅速确定了Topic  也有点莫名的感动疫情算是过去了 街道也恢复了往常的喧嚣🔞开学在路上 但听说要在校隔离14天 不如不上学出门一趟 腿脚疼2天 想念在学校打球🏸 的日子最近做了几个很真实的梦其实我一直都想对你说：我好想你💖 http://t.cn/RJwKRD0 显示地图 [组图共2张] 原图 ,/,/,无,2020-03-23 19:47,2020/03/23 19:48:33,开学,OPPO超视野全面屏R15,0,0,0
IzY9g3BDj,5018799170,好久不吃奥利奥了,weibo.cn/5018799170/IzY9g3BDj,True,#抑郁症[超话]#29号就开学了，我不想回学校，我害怕见人，在家我都挺难受，我想自闭  ,/,/,无,2020-03-23 19:47,2020/03/23 19:48:33,开学,抑郁症超话,0,0,0
IzY9fsLua,5382471143,黄飞ling,weibo.cn/5382471143/IzY9fsLua,False,我是@可爱多 品牌代言人易烊千玺，和我一起踏上梦幻之旅，迎接多彩新生，唤起好心情。可爱多的微博视频  ,啊啊啊，开学要买呀  .  ,TFBOYS-易烊千玺,无,2020-03-23 19:47,2020/03/23 19:48:33,开学,vivo智能手机,0,0,0
IzY9frOUW,5640516899,颖泪有谁懂,weibo.cn/5640516899/IzY9frOUW,True,等开学了我就去婺源看我们家幸福去，我学校就在江西哦  原图 ,/,/,无,2020-03-23 19:47,2020/03/23 19:48:33,开学,荣耀V20 4800万3D相机,0,0,0
IzY9ezmXP,5390254828,说吧为何不嫁库里,weibo.cn/5390254828/IzY9ezmXP,True,为啥最近的我这么散漫!害怕开学！  ,/,/,无,2020-03-23 19:47,2020/03/23 19:48:33,开学,小米9,0,0,0
IzY9dno7R,6620992075,跟王凯莉抢男人的仔,weibo.cn/6620992075/IzY9dno7R,True,#开学时间#害  ,/,/,无,2020-03-23 19:47,2020/03/23 19:48:33,开学,前后2000万 OPPO R11s,0,0,0
IzY9yFWFh,1766958591,爱着影子,weibo.cn/1766958591/IzY9yFWFh,True,从今晚的半杯葡萄酒开始，以后在家期间每天半杯养养生（主要不贵），既然家里那两位不喜欢干红的味那这一箱都是我的了这周突如其来开始绩效考核了，唉不容易不容易为什么我负责可转债啊难道因为现在市场就可转债有优势，被照顾了？哈哈哈哈，我爱可转债快点开学，少挣多少钱天天在家当苦力但很爽 http://t.cn/RyhQhyT 显示地图 原图 ,/,/,无,2020-03-23 19:48,2020/03/23 19:49:13,开学,小米Note 3 拍人更美,0,0,0
IzY9yEKac,5633264331,以梦为马牧与歌,weibo.cn/5633264331/IzY9yEKac,True,#你开学后的成绩#  原图 ,/,/,无,2020-03-23 19:48,2020/03/23 19:49:13,开学,OPPO K3 硬核少年,0,0,0
IzY9yoj0O,6750456982,曦露霏霏,weibo.cn/6750456982/IzY9yoj0O,True,#易起许愿101# 希望疫情赶紧过去吧，好想开学呀！也希望不再有病例出现了🙏🙏春暖花开，一切都好！  ,/,/,无,2020-03-23 19:48,2020/03/23 19:49:13,开学,小米Note 3 拍人更美,0,0,0
IzY9y3HGX,3957501168,新城服务办,weibo.cn/3957501168/IzY9y3HGX,True,图说 | @即将开学的你调整心态 做好防护，你准备好了吗？ http://t.cn/A6zDYaLC  ,/,/,无,2020-03-23 19:48,2020/03/23 19:49:13,开学,HUAWEI P20,0,0,0
IzY9w1UkH,5655884017,许郴河,weibo.cn/5655884017/IzY9w1UkH,True,#山东开学#  ,/,/,无,2020-03-23 19:48,2020/03/23 19:49:13,开学,小米Max2 大屏大电量,0,0,0
IzY9v9NdQ,5489243700,安大琪qqqq,weibo.cn/5489243700/IzY9v9NdQ,True,太真实了 再不开学 就看不见我室友了  原图 ,/,/,无,2020-03-23 19:48,2020/03/23 19:49:13,开学,iPhone客户端,0,0,0
